Sales_ID,Date,Product_ID,Customer_ID,Store_ID,Sales_Amount,Quantity,Discount,Profit
1,10.01.2024,P101,C001,S01,100,2,5,20
2,15.01.2024,P102,C001,S01,950,18,90,190
3,05.02.2024,P101,C002,S02,500,9,45,100
4,10.02.2024,P103,C002,S02,250,4,20,50
5,01.03.2024,P102,C003,S03,300,5,25,60
6,05.03.2024,P104,C003,S03,800,15,75,160
7,12.04.2024,P101,C004,S04,400,7,35,80
8,18.04.2024,P105,C004,S04,450,8,40,90
9,20.05.2024,P103,C005,S05,350,6,30,70
10,25.05.2024,P106,C005,S05,550,10,50,110
11,10.06.2024,P102,C006,S06,600,11,55,120
12,15.06.2024,P107,C006,S06,650,12,60,130
13,01.07.2024,P104,C007,S07,700,13,65,140
14,05.07.2024,P108,C007,S07,750,14,70,150
15,10.08.2024,P105,C008,S08,150,1,10,30
16,15.08.2024,P109,C008,S08,850,16,80,170
17,01.09.2024,P106,C009,S09,900,17,85,180
18,05.09.2024,P110,C009,S09,1050,20,100,210
19,10.10.2024,P107,C010,S10,1000,19,95,200
20,15.10.2024,P111,C010,S10,200,3,15,40
